region,sector,subsector,abraded,edge_damage,technological_class,completeness,size_class,cortex,platform_type,blade_section,retouched_tool_type,retouch_mode,sheen,count,notes,survey_pass
A1,A1-14,A1-14-10,1,2,3,1,3,0,2,,14,S,1,1,P. FUSELL,NO
A1,A1-14,A1-14-10,1,2,12,1,3,0,,,,,1,1,,NO
A1,A1-14,A1-14-10,1,1,3,2,2,0,2,,,,1,1,,NO
A1,A1-14,A1-14-10,1,2,3,2,2,1,2,,,,PATINA,1,,NO
A1,A1-14,A1-14-10,1,1,3,2,2,1,1,,,,1,1,,NO
A1,A1-14,A1-14-10,1,2,3,1,2,0,2,,,,1,1,,NO
A1,A1-14,A1-14-10,1,2,3,1,2,0,2,,,,PATINA,1,,NO
A1,A1-14,A1-14-10,1,3,3,2,2,0,2,,,,1,1,,NO
A1,A1-14,A1-14-10,1,2,3,2,2,0,3,,,,PATINA,1,DÏEDRE,NO
A1,A1-14,A1-14-10,1,2,3,2,1,0,2,,,,1,1,,NO
A1,A1-14,A1-14-10,1,2,3,2,1,0,2,,,,1,1,,NO
A1,A1-14,A1-14-10,1,1,3,1,1,2,1,,,,1,1,,NO
A1,A1-14,A1-14-10,1,2,3,2,2,0,2,,,,1,1,,NO
A1,A1-14,A1-14-10,1,2,3,2,1,0,2,,,,1,1,,NO
A1,A1-14,A1-14-10,1,2,6,2,3,0,0,,,,1,1,,NO
A1,A1-14,A1-14-10,1,2,6,1,2,0,0,,,,1,2,,NO
A1,A1-14,A1-14-10,1,2,6,1,1,0,0,,,,1,2,,NO
A1,A1-14,A1-14-2,1,2,3,1,2,0,2,,,,1,1,,NO
A1,A1-14,A1-14-2,1,2,3,1,2,0,2,,,,1,1,,NO
A1,A1-14,A1-14-2,1,2,3,2,2,0,2,,,,PATINA,1,,NO
A1,A1-14,A1-14-2,2,3,6,1,1,0,0,,,,1,1,,NO
A1,A1-14,A1-14-2,1,2,6,1,2,0,0,,,,1,2,,NO
A1,A1-14,A1-14-3,1,2,3,2,2,3,2,,3,S,1,1,,NO
A1,A1-14,A1-14-3,1,2,12,1,3,1,,,,,1,1,,NO
A1,A1-14,A1-14-3,1,2,12,1,3,0,,,,,1,1,,NO
A1,A1-14,A1-14-3,1,2,12,1,3,1,,,,,1,1,,NO
A1,A1-14,A1-14-3,1,2,3,2,2,0,2,,,,1,1,,NO
A1,A1-14,A1-14-3,1,2,3,1,2,2,2,,,,1,1,,NO
A1,A1-14,A1-14-3,1,2,3,1,1,0,2,,,,1,1,,NO
A1,A1-14,A1-14-4,1,1,3,2,3,0,2,,,,1,1,,NO
A1,A1-14,A1-14-4,1,2,3,1,2,2,2,,,,PATINA,1,,NO
A1,A1-14,A1-14-4,1,1,3,1,2,3,2,,,,PATINA,1,,NO
A1,A1-14,A1-14-4,1,2,3,1,2,0,2,,,,PATINA,1,,NO
A1,A1-14,A1-14-4,1,2,3,2,2,0,2,,,,PATINA,1,,NO
A1,A1-14,A1-14-4,1,3,3,2,2,0,2,,,,PATINA,1,,NO
A1,A1-14,A1-14-4,1,3,6,1,1,0,0,,,,1,1,,NO
A1,A1-14,A1-14-4,1,3,6,1,3,1,0,,,,1,1,,NO
A1,A1-14,A1-14-5,1,2,5,2,2,2,2,1,,,1,1,,NO
A1,A1-14,A1-14-5,1,2,3,1,2,0,2,,,,1,1,,NO
A1,A1-14,A1-14-5,1,2,3,1,2,0,2,,,,1,1,,NO
A1,A1-14,A1-14-5,1,2,3,2,3,1,2,,,,PATINA,1,,NO
A1,A1-14,A1-14-5,1,3,3,1,2,0,2,,,,PATINA,1,,NO
A1,A1-14,A1-14-5,1,1,3,2,2,0,2,,,,1,1,,NO
A1,A1-14,A1-14-5,1,2,3,2,2,3,2,,,,PATINA,1,,NO
A1,A1-14,A1-14-5,1,2,3,2,2,1,2,,,,1,1,,NO
A1,A1-14,A1-14-5,1,3,6,1,1,0,0,,,,1,1,,NO
A1,A1-14,A1-14-5,1,2,6,1,1,0,0,,,,1,1,,NO
A1,A1-14,A1-14-5,1,2,6,1,2,0,0,,,,1,4,,NO
A1,A1-14,A1-14-5,1,3,6,1,2,0,0,,,,1,1,,NO
A1,A1-14,A1-14-5,1,3,6,2,2,0,0,,,,1,1,,NO
A1,A1-14,A1-14-6,1,3,3,1,2,0,2,,,,1,1,,NO
A1,A1-14,A1-14-6,1,2,3,2,1,0,2,,,,1,1,,NO
A1,A1-14,A1-14-6,1,2,3,2,1,0,2,,,,1,1,,NO
A1,A1-14,A1-14-6,1,2,3,1,3,0,2,,,,1,1,,NO
A1,A1-14,A1-14-6,1,2,3,2,2,0,0,,,,1,1,,NO
A1,A1-14,A1-14-6,1,2,6,2,1,0,0,,,,1,1,,NO
A1,A1-14,A1-14-6,1,3,6,1,1,0,0,,,,1,1,,NO
A1,A1-14,A1-14-6,1,2,6,1,1,0,0,,,,1,3,,NO
A1,A1-14,A1-14-6,1,2,6,1,2,0,0,,,,1,2,,NO
A1,A1-14,A1-14-6,1,3,6,1,2,0,0,,,,1,1,,NO
A1,A1-14,A1-14-6,1,2,6,1,2,2,0,,,,1,2,,NO
A1,A1-14,A1-14-6,1,2,6,1,3,2,0,,,,1,1,,NO
A1,A1-14,A1-14-6,1,3,6,1,3,0,0,,,,1,1,,NO
A1,A1-14,A1-14-6,1,2,6,2,3,2,0,,,,1,1,,NO
A1,A1-14,A1-14-7,1,2,13,1,2,0,,,,,PATINA,1,,NO
A1,A1-14,A1-14-7,1,2,12,2,3,0,,,,,1,1,,NO
