SSECTOR,handmade_ceramics,EROS,cardial_impressed,epicardial,engraved,combed,decorated_lips,Neol1,Neol2
BP-11-8,14,14,0,1,0,0,0,1,0
BP-11-9,3,3,0,0,0,0,0,0,0
BP-2-15,1,1,0,0,0,0,0,0,0
BP-2-17,2,2,0,0,0,0,0,0,0
BP-2-18,1,1,0,0,0,0,0,0,0
BP-2-22,3,3,0,0,0,0,0,0,0
BP-2-23,4,4,0,0,0,0,0,0,0
BP-2-30,2,2,0,0,0,0,0,0,0
BP-2-32,4,4,0,0,0,0,0,0,0
BP-2-34,12,12,0,0,0,0,1,0,1
BP-2-35,27,27,0,0,0,0,1,0,1
BP-2-36,40,40,0,0,0,0,0,0,0
BP-2-37,4,4,0,0,0,0,0,0,0
BP-2-4,59,58,0,1,0,1,0,1,1
BP-2-5,16,15,0,0,0,0,0,0,0
BP-2-7,16,16,0,1,0,1,0,1,1
BP-3-1/2,61,56,0,0,0,0,1,0,1
BP-3-10,4,4,0,0,0,0,0,0,0
BP-3-14,4,4,0,0,0,0,0,0,0
BP-3-15/16/17,21,21,0,0,0,0,1,0,1
BP-3-24,6,5,0,0,0,0,0,0,0
BP-3-26,58,52,0,0,0,0,0,0,0
BP-3-27,8,7,0,0,0,0,0,0,0
BP-3-28,23,22,0,0,0,0,0,0,0
BP-3-29,152,132,0,2,0,4,1,2,5
BP-3-3/4,25,25,0,0,0,1,2,0,3
BP-3-30,218,207,0,0,0,0,1,0,1
BP-3-33,35,35,0,0,0,1,0,0,1
BP-3-42,17,17,0,0,0,0,0,0,0
BP-4-1/2,158,127,0,1,0,1,2,1,3
BP-4-11/12,1,1,0,0,0,0,0,0,0
BP-4-13/14,4,4,0,0,0,0,0,0,0
BP-4-15,9,9,0,1,0,0,0,1,0
BP-4-16,24,24,0,0,0,0,0,0,0
BP-4-18,76,75,1,0,0,1,0,1,1
BP-4-19,53,52,0,0,0,0,0,0,0
BP-4-20,60,59,0,0,0,0,0,0,0
BP-4-21/22,10,9,0,0,0,0,0,0,0
BP-4-23,4,2,0,0,0,0,0,0,0
BP-4-24,1,1,0,0,0,0,0,0,0
BP-4-25/26,2,2,0,0,0,0,0,0,0
BP-4-27,7,7,0,0,0,0,0,0,0
BP-4-28,1,1,0,0,0,0,0,0,0
BP-4-29,1,0,0,0,0,0,0,0,0
BP-4-3,154,135,4,3,3,6,1,7,10
BP-4-30,1,1,0,0,0,0,0,0,0
BP-4-31,1,1,0,0,0,0,0,0,0
BP-4-4,94,89,1,0,0,3,1,1,4
BP-4-5,151,140,2,2,1,0,0,4,1
BP-4-6,78,73,3,0,1,0,0,3,1
BP-4-7,7,7,0,1,0,0,1,1,1
BP-4-8,29,28,0,0,0,2,0,0,2
BP-4-9,10,9,0,0,0,0,0,0,0
BP-6-1,7,7,0,0,0,1,0,0,1
BP-6-11,7,7,0,0,0,0,0,0,0
BP-6-2,10,10,0,1,0,2,0,1,2
BP-6-3,18,18,0,0,0,0,0,0,0
BP-6-4,21,16,0,0,0,0,1,0,1
BP-6-5,11,11,0,0,0,0,0,0,0
BP-6-6,16,16,0,0,0,0,0,0,0
BP-6-7,14,13,0,0,0,0,0,0,0
BP-6-9,6,6,0,0,0,0,0,0,0
BP-8-1/2,24,21,0,0,0,0,0,0,0
BP-8-10,6,5,0,0,0,1,0,0,1
BP-8-11,3,3,0,0,0,0,0,0,0
BP-8-13,12,11,0,0,0,0,0,0,0
BP-8-14,10,10,0,0,0,0,0,0,0
BP-8-20,1,1,0,0,0,0,0,0,0
BP-8-22,24,22,0,0,0,0,0,0,0
BP-8-4,23,21,0,0,0,1,0,0,1
BP-8-7,3,3,0,0,0,0,0,0,0
BP-8-9,74,68,0,0,0,1,2,0,3
