SUBSECTOR,AREA,HMP,CARD,IMPIN,ESGR,PEINA,LABS,NEOL_1,NEOL_2
BP-8-1/2,0.023,24,0,0,0,0,3,0,3
BP-8-3,0.019,0,0,0,0,0,0,0,0
BP-8-5,0.007,0,0,0,0,0,0,0,0
BP-8-4,0.002,23,0,0,0,1,0,0,1
BP-8-6,0.003,0,0,0,0,0,0,0,0
BP-8-7,0.003,3,0,0,0,0,0,0,0
BP-6-2,0.021,10,0,1,0,1,1,1,2
BP-6-3,0.016,18,0,0,0,0,0,0,0
BP-6-4,0.055,21,0,0,0,0,1,0,1
BP-6-5,0.037,11,0,0,0,0,0,0,0
BP-6-11,0.04,7,0,0,0,0,0,0,0
BP-6-6,0.013,16,0,0,0,0,0,0,0
BP-6-7,0.014,14,0,0,0,0,0,0,0
BP-6-10,0.016,0,0,0,0,0,0,0,0
BP-6-8,0.038,0,0,0,0,0,0,0,0
BP-6-9,0.01,6,0,0,0,0,0,0,0
BP-8-8,0.002,0,0,0,0,0,0,0,0
BP-8-9,0.004,74,0,0,0,1,2,0,3
BP-4-10,0.006,0,0,0,0,0,0,0,0
BP-4-16,0.019,26,0,0,0,0,0,0,0
BP-4-17,0.016,15,0,0,0,0,0,0,0
BP-4-18,0.02,173,4,1,0,6,1,5,7
BP-4-15,0.021,18,0,1,0,0,1,1,1
BP-4-19,0.027,93,0,0,0,0,0,0,0
BP-4-28,0.017,1,0,0,0,0,0,0,0
BP-4-20,0.025,60,0,0,0,0,1,0,1
BP-4-23,0.009,4,0,0,0,0,0,0,0
BP-4-24,0.012,1,0,0,0,0,0,0,0
BP-4-29,0.009,1,0,0,0,0,0,0,0
BP-4-30,0.018,1,0,0,0,0,0,0,0
BP-4-31,0.018,1,0,0,0,0,0,0,0
BP-4-32,0.026,0,0,0,0,0,0,0,0
BP-8-15,0.004,0,0,0,0,0,0,0,0
BP-8-16,0.008,0,0,0,0,0,0,0,0
BP-8-14,0.005,10,0,0,0,0,0,0,0
BP-8-13,0.003,12,0,0,0,0,1,0,1
BP-8-10,0.004,6,0,0,0,1,0,0,1
BP-8-18,0.008,0,0,0,0,0,0,0,0
