REGION,DATE,AREA,SECTOR,SSECTOR,SITE,COUNT,EROS,LABIO,BORDE,CUELLO,GALBO,BASE,PRENSION,DEC_1,DEC_2,DEC_3,BOLSA,MICRO,PSDA,TOTAL_CERA
serpis,03/16/1994,BP,BP-3,BP-3-10,,1,0,,,,1,,,,,,1,,1,3301
serpis,03/16/1994,BP,BP-3,BP-3-10,,1,0,2,0,,,,,,,,1,,1,3301
serpis,03/16/1994,BP,BP-3,BP-3-10,,1,0,1,0,,,,,,,,1,,1,3301
serpis,03/16/1994,BP,BP-3,BP-3-10,,1,0,,,,1,,3,,,,1,,1,3301
serpis,03/16/1994,BP,BP-3,BP-3-14,,4,0,,,,1,,,,,,2,,1,3301
serpis,,BP,BP-3,bp-3-3/4,ac-36,1,0,,,,1,,,7,,,3,,1,3301
serpis,,BP,BP-3,bp-3-3/4,ac-36,1,0,,,,,,11,,,,3,,1,3301
serpis,,BP,BP-3,bp-3-3/4,ac-36,1,0,1,0,,,,3,,,,3,,1,3301
serpis,,BP,BP-3,bp-3-3/4,ac-36,2,0,1,0,,,,,,,,3,,1,3301
serpis,,BP,BP-3,bp-3-3/4,ac-36,1,0,2,0,,,,,,,,3,,1,3301
serpis,,BP,BP-3,bp-3-3/4,ac-36,2,0,51,0,,,,,,,,3,,1,3301
serpis,,BP,BP-3,bp-3-3/4,ac-36,1,0,1,1,,,,,,,,3,,1,3301
serpis,,BP,BP-3,bp-3-3/4,ac-36,1,0,32,0,,,,,,,,3,,1,3301
serpis,,BP,BP-3,,ac-76,1,0,,,,1,,,,,,4,,0,3301
serpis,,BP,BP-3,BP-3-42,ac-36,1,0,2,0,,,,,,,,5,,1,3301
serpis,11/21/1993,BP,BP-3,BP-3-1/2,ac-36,26,0,,,,1,,,,,,6,,2,3301
serpis,11/21/1993,BP,BP-3,BP-3-1/2,ac-36,1,0,1,0,,,,,,,,6,,2,3301
serpis,11/21/1993,BP,BP-3,BP-3-1/2,ac-36,1,0,1,0,,,,,,,,6,,2,3301
serpis,11/21/1993,BP,BP-3,BP-3-1/2,ac-36,1,0,1,0,,,,3,,,,6,,2,3301
serpis,11/21/1993,BP,BP-3,BP-3-1/2,ac-36,1,0,52,0,,,,3,,,,6,,2,3301
serpis,,BP,BP-3,bp-3-1/2,ac-36A,1,0,,,,1,,6,,,,7,,1,3301
serpis,,BP,BP-3,bp-3-1/2,ac-36A,1,0,1,0,,,,,,,,7,,1,3301
serpis,,BP,BP-3,bp-3-1/2,ac-36A,1,0,2,0,,,,,,,,7,,1,3301
serpis,,BP,BP-3,bp-3-1/2,ac-36A,1,0,32,0,,,,3,,,,7,,1,3301
serpis,,BP,BP-3,bp-3-1/2,ac-36A,1,0,32,0,,,,,,,,7,,1,3301
serpis,11/21/1993,BP,BP-3,BP-3-29,,1,0,,,,,,11,,,,8,,2,3301
serpis,11/21/1993,BP,BP-3,BP-3-29,,14,0,,,,1,,,,,,8,,2,3301
serpis,11/21/1993,BP,BP-3,BP-3-29,,1,0,1,0,,,,,,,,8,,2,3301
serpis,11/21/1993,BP,BP-3,BP-3-29,,1,0,1,0,,,,,7,,,8,,2,3301
serpis,11/21/1993,BP,BP-3,BP-3-29,,1,0,,,,1,,,4.3,,,8,,2,3301
serpis,10/14/1995,BP,BP-3,BP-3-30,ac-76,11,0,,,,1,,,,,,9,,2,3301
serpis,10/14/1995,BP,BP-3,BP-3-30,ac-76,1,0,,,,1,,,7,,,9,,2,3301
serpis,10/14/1995,BP,BP-3,BP-3-33,ac-76,32,0,,,,1,,,,,,10,,1,3301
serpis,10/14/1995,BP,BP-3,BP-3-33,ac-76,1,0,,,,1,,,7,,,10,,1,3301
serpis,10/14/1995,BP,BP-3,BP-3-33,ac-76,1,0,,,,1,,3,,,,10,,1,3301
serpis,10/14/1995,BP,BP-3,BP-3-33,ac-76,1,0,31,0,,,,,,,,10,,1,3301
serpis,10/07/1988,BP,BP-4,BP-4-7,,5,0,,,,1,,,,,,11,,1,3301
