N_BOLSA,FECHA,REGION,AREA,SECTOR,SSECTOR,YACIMIENTO,RODADO,MECANICO,CLAS_TECN,FRACTURA,TAMANO,CORTEX,TALON,SEC_HOJ,TIPO,"TYPE_NUM,N,6,0",RET_MODO,LUSTRE,COUNT,LONGITUD,ANCHURA,GROSOR,PSDA,SUMA,MICRO
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,1,6,,2,1,,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,1,6,,1,1,,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,2,6,,2,2,,,,,,,2,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,2,6,,2,1,,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,2,6,,1,2,,,,,,,2,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,3,6,,1,2,,,,,,,2,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,1,1.3,1,2,2,,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,1,1.3,1,2,1,,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,2,1.2,1,2,2,,,,,,,2,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,2,1.2,1,2,3,,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,1,3,2,2,1,2,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,1,3,2,2,1,0,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,3,3,1,2,1,2,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,1,3,1,2,2,2,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,3,3,1,2,2,2,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,3,6,1,2,1,,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,3,3,2,2,1,2,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,3,3,1,2,2,0,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,3,4,2,1,1,0,1,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,3,3,1,1,1,2,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,1,3,1,1,3,2,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,3,3,2,2,1,0,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,3,3,2,1,1,0,,,,,,1,0,0,0,1,4004,
300,10/12/1995,Serpis,BP,BP-4,bp-4-6,AC-44,1,2,3,2,1,1,0,,,,,,1,0,0,0,1,4004,
