SUBSECTOR,SECTOR,NOM,AREA,LEVALL,MUST,MYD,RSP,BRL,M1,TRC,DORSO,G1,G2,TLDRO,PFLECHA,PRC,HRET,HINV,ABRUPT,RETOC,HMP,CARD,IMPIN,ESGR,PEINA,LABS,SILEX2
2,8,BP-8-1/2,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,3,23
2,8,BP-8-3,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,BP-8-5,0.007,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,28
2,8,BP-8-4,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,12
2,8,BP-8-6,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,BP-8-7,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
1,6,BP-6-2,0.021,0,0,2,1,0,0,2,0,1,0,1,0,6,1,0,4,24,10,0,1,0,1,1,305
1,6,BP-6-3,0.016,1,0,3,0,0,1,1,0,0,0,0,0,2,0,0,2,20,18,0,0,0,0,0,144
1,6,BP-6-4,0.055,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,10,21,0,0,0,0,1,74
1,6,BP-6-5,0.037,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,4,9,11,0,0,0,0,0,55
1,6,BP-6-11,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3
1,6,BP-6-6,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,14
1,6,BP-6-7,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,10
1,6,BP-6-10,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,6,BP-6-8,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1,6,BP-6-9,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5
2,8,BP-8-8,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2,8,BP-8-9,0.004,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,74,0,0,0,1,2,10
1,4,BP-4-10,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,4,BP-4-16,0.019,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,7,26,0,0,0,0,0,46
1,4,BP-4-17,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,40
1,4,BP-4-18,0.02,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,6,173,4,1,0,6,1,47
1,4,BP-4-15,0.021,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,18,0,1,0,0,1,12
1,4,BP-4-19,0.027,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,4,93,0,0,0,0,0,32
1,4,BP-4-28,0.017,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,3
1,4,BP-4-20,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,1,16
