subsector,site,total_ceramics,ceramic_counts
,AC-76,3301,488
BP-11-8,AC-87,3301,14
BP-11-9,AC-87B,3301,1
BP-11-9 (1 y 2),AC-87b,3301,2
BP-2-15,,3301,1
BP-2-17,,3301,2
BP-2-18,,3301,1
BP-2-19,taca,3301,11
BP-2-22,,3301,3
BP-2-23,,3301,4
BP-2-30,,3301,2
BP-2-32,,3301,4
BP-2-34,,3301,12
BP-2-35,,3301,27
BP-2-36,,3301,40
BP-2-37,,3301,4
BP-2-4,AC-17,3301,109
BP-2-4/7,AC-17,3301,27
BP-2-5,AC-17,3301,16
BP-2-7,AC-17,3301,22
BP-3-1/2,AC-36,3301,91
BP-3-10,,3301,4
BP-3-14,,3301,4
BP-3-15/16/17,,3301,21
BP-3-24,,3301,6
BP-3-26,,3301,58
BP-3-27,,3301,8
BP-3-28,AC-76,3301,23
BP-3-29,,3301,170
BP-3-3/4,AC-36,3301,25
BP-3-30,AC-76,3301,230
BP-3-33,AC-76,3301,35
BP-3-42,AC-36,3301,17
BP-4-1/2,AC-44,3301,158
BP-4-11,,3301,1
BP-4-11/12,,3301,3
BP-4-13/14,,3301,13
BP-4-15,,3301,18
BP-4-16,AC-85,3301,26
BP-4-17,,3301,15
BP-4-18,AC-85,3301,173
BP-4-19,AC-85,3301,93
BP-4-20,AC-85,3301,60
BP-4-21/22,AC-85,3301,10
BP-4-23,AC-85,3301,4
BP-4-24,AC-85,3301,1
BP-4-25/26,AC-85,3301,2
BP-4-27,AC-85,3301,7
BP-4-28,AC-85,3301,1
BP-4-29,AC-85,3301,1
BP-4-3,AC-44,3301,154
BP-4-30,AC-85,3301,1
BP-4-31,AC-85,3301,1
BP-4-4,AC-44,3301,94
BP-4-5,AC-44,3301,291
BP-4-6,AC-44,3301,151
BP-4-7,,3301,149
BP-4-8,,3301,68
BP-4-9,,3301,34
BP-6-1,AC-88,3301,7
BP-6-11,,3301,7
BP-6-2,AC-88,3301,10
BP-6-3,AC-88,3301,18
BP-6-4,AC-88,3301,21
BP-6-5,AC-88,3301,11
BP-6-6,AC-88,3301,16
BP-6-7,AC-88,3301,14
BP-6-9,AC-88,3301,6
BP-8-1/2,AC-89,3301,24
BP-8-10,AC-89,3301,6
BP-8-11,AC-89,3301,3
BP-8-13,AC-89,3301,12
BP-8-14,AC-89,3301,10
BP-8-20,AC-89,3301,1
BP-8-22,AC-89,3301,24
BP-8-4,AC-89,3301,23
BP-8-7,AC-89,3301,3
BP-8-9,AC-89,3301,74
