subsector,Roman_ceramic_density,Islamic_ceramic_density,prehist_ceramic_density,early_medieval_ceramic_density,modern_ceramic_density,visibility
ARN-1,0,0,0,0,685.42,5
ARN-10,0,0,47.96,0,815.34,5
ARN-11,0,0,0,0,717.48,3
ARN-12,0,0,80.99,0,998.92,3
ARN-13,0,0,26.61,0,425.87,3
ARN-14,0,0,48.3,0,724.93,3
ARN-15,0,0,0,0,1095.69,5
ARN-16,0,0,0,0,697.13,5
ARN-17,0,0,0,0,482.39,5
ARN-18,0,24.58,73.76,0,368.82,3
ARN-19,0,0,0,0,438.91,3
ARN-2,0,0,48.03,0,1488.95,4
ARN-3,0,0,58.1,0,0,5
ARN-4,0,0,0,0,795.05,3
ARN-5,122.85,0,0,122.85,2334.15,5
ARN-6,12.06,0,72.38,0,579.08,5
ARN-7,0,0,150.37,0,200.5,5
ARN-8,140.96,0,422.89,140.96,4792.78,5
ARN-9,0,0,0,0,909.09,5
CM-1,0,0,104.38,0,17.39,3
CM-10,0,0,0,0,45.44,4
CM-2,0,0,133.58,0,320.59,3
CM-3,0,0,124.37,0,77.73,3
CM-4,0,0,88.66,0,195.05,5
CM-5,0,0,0,0,270.67,5
CM-6,0,0,35.19,0,193.55,4
CM-7,53.36,0,0,53.36,693.7,5
CM-8,0,0,32.23,0,128.92,4
CM-9,0,0,0,0,131.75,4
CT-1,0,0,20.92,0,20.92,5
CT-10,0,0,0,0,83.3,3
CT-11,0,18.31,73.27,0,567.86,3
CT-12,0,0,10.42,10.42,104.21,1
CT-13,139.13,92.75,46.37,0,313.04,3
CT-2,0,0,0,0,157.62,3
CT-3,0,0,0,0,334.36,1
CT-4,28.17,0,0,0,0,5
CT-5,134.31,25.81,180.73,25.81,335.65,4
CT-6,0,0,0,0,402.95,3
CT-7,69.75,0,0,0,244.15,1
CT-8,26.22,0,131.13,26.22,432.73,5
CT-9,0,0,0,0,87.71,2
GRR-1,0,45.18,135.56,45.18,451.81,4
GRR-2,0,27.11,216.91,27.11,54.22,5
GRR-3,465.32,30.02,105.07,30.02,75.05,2
GRR-4,0,0,0,0,61.38,2
