REGION,SECTOR,SUBSECTOR,RODADO,MECANIC,TEC__CLASS,FRACTURA,TAMANY,CORTEX,TALO,SECC__LAM,TIPUS,"R__MODUS,C,1",LUSTRE,TOTAL,SUM
G. occ-nord,Vel¡s,1,2,3,5,1,1,1,2,2,,,,1,156
G. occ. nord,Vel¡s,1,2,2,13,1,2,1,2,,,,,1,156
G. occ. nord,Vel¡s,1,2,1,3,2,1,1,2,,,,,1,156
G. occ. nord,Vel¡s,1,2,2,3,1,1,1,2,,,,,1,156
G. occ. nord,Vel¡s,1,2,2,3,1,1,1,2,,,,,2,156
G. occ. nord,Vel¡s,1,2,2,3,1,1,3,2,,,,,1,156
G. occ. Sud,Rampuda,1,2,3,6,2,1,1,,,,,,1,156
G. occ. sud,Rampuda,3,2,3,4,2,2,1,0,2,,,,1,156
G. occ. sud,Rampuda,3,2,3,4,1,2,1,2,2,,,,1,156
G. occ. sud,Rampuda,3,2,3,4,2,2,1,0,1,,,,2,156
G. occ. sud,Rampuda,3,2,2,5,2,1,1,0,1,,,,2,156
G. occ. sud,Rampuda,3,2,2,5,2,1,1,0,2,,,,1,156
G. occ. sud,Rampuda,3,2,2,12,1,3,2,,,,,,1,156
G. occ. sud,Rampuda,3,2,3,3,1,3,1,2,,,,,1,156
G. occ. sud,Rampuda,3,2,3,3,1,2,2,2,,,,,2,156
G. occ. sud,Rampuda,3,2,2,3,1,2,2,2,,,,,1,156
G. occ. sud,Rampuda,3,2,2,3,1,1,3,2,,,,,1,156
G. occ. sud,Rampuda,3,2,2,3,2,1,1,2,,,,,1,156
G. occ. sud,Rampuda,3,2,2,3,2,2,1,2,,,,,1,156
G. occ. sud,Rampuda,3,2,3,3,1,2,1,2,,,,,1,156
G. occ. sud,Rampuda,3,2,2,3,1,1,1,2,,,,,4,156
G. occ. sud,Rampuda,3,2,3,3,1,1,1,2,,,,,1,156
G. occ. sud,Rampuda,3,2,2,3,2,1,1,2,,,,,1,156
G. occ. sud,Rampuda,3,2,2,2,2,2,1,0,,,,,1,156
G. occ. sud,Rampuda,4,2,2,12,1,3,1,,,,,,1,156
G. occ. sud,Rampuda,4,2,3,4,1,3,1,2,3,,,,1,156
G. occ. sud,Rampuda,4,2,2,4,2,1,1,2,1,,,,1,156
G. occ. sud,Rampuda,4,2,3,4,2,2,1,2,2,,,,1,156
G. occ. sud,Rampuda,4,2,3,4,2,1,2,0,3,,,,1,156
G. occ. sud,Rampuda,4,2,3,3,1,2,3,0,,,,,1,156
G. occ. sud,Rampuda,4,2,1,3,2,2,2,1,,,P,,1,156
G. occ. sud,Rampuda,4,2,3,3,1,1,2,2,,,,,1,156
G. occ. sud,Rampuda,4,2,3,3,1,3,1,2,,,,,1,156
G. occ sud,Rampuda,4,2,3,3,1,2,1,2,,,,,4,156
G. occ. sud,Rampuda,4,2,3,3,1,1,1,2,,,,,1,156
G. occ. sud,Rampuda,4,2,3,3,2,2,1,2,,,,,1,156
G. occ. sud,Rampuda,11,2,3,3,2,2,1,2,,,,,1,156
G. or./cent. Sud,Passules,1,2,2,3,1,1,2,2,,,,,1,156
G. or./cent. sud,Passules,6,2,3,3,1,2,1,2,,,,,1,156
G. or./cent. sud,Passules,11,2,3,4,1,1,1,0,3,8,A,,1,156
G. or./cent. sud,Passules,11,2,2,3,1,2,2,2,,,,,2,156
G. or./cent. sud,Passules,12,2,2,3,1,1,1,2,,,,,2,156
G. or./cent. sud,Passules,12,2,2,3,1,1,1,2,,,,,2,156
G. central sud,Mosquera,1,2,2,3,1,1,2,2,,,,,1,156
G. central sud,Mosquera,13,2,2,3,1,2,1,2,,,,,1,156
