bag_number,date,region,stratum,sector,subsector,site,abraded,edge_damage,technological_class,completeness,size_class,cortex,platform_type,blade_section,retouched_tool_type,retouch_mode,sheen,count,length,width,thickness,total,notes
387,12/31/1988,Serpis,XI,,,AC-66,1,3,6,,3,,,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,6,,3,,,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,3,6,,2,,,,,,,3,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,6,,2,,,,,,,11,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,6,,1,,,,,,,27,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,2,2,2,1,2,,,,,1,0,0,0,2760,cresta
387,12/31/1988,Serpis,XI,,,AC-66,1,2,1.3,1,2,1,,,,,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,1,5,2,2,1,0,1,,,,1,23,8.5,1.7,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,5,2,1,1,3,1,,,,1,15.9,8.7,2.2,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,5,2,1,1,3,2,,,,1,14,6,1.1,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,1,5,2,1,1,3,2,,,,1,14.7,8.5,1.4,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,3,5,2,1,1,0,1,,,,1,14.8,0,3.3,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,4,2,1,1,0,1,"8
16","A
S",,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,4,2,1,2,0,1,"8
15","A
S",,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,2,1,1,0,,9,A,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,1,2,1,2,,2,S,,1,0,0,0,2760,
387,12/31/1988,Serpis,XI,,,AC-66,1,2,3,2,2,1,0,,14,S,,1,0,0,0,2760,
