subsector,site,total_lithics,UPaleo_types,MPaleo_types,flakes,blades,bladelets,flake_cores,blade_cores,retouched_flakes,geometric,backed_bladelet_marg_ret,backed_bladelet_invasive_ret,microburins,backed_pieces,drills,backed_points,projectile_points,core_rejuvination,chunks,denticulated_sickle_blades,survey_pass_2
Desconocido,,433,5,6,,16,20,12,5,5,1,3,,2,1,,,,,229,1,431
XI-3-10,AC-69,51,1,1,,2,1,1,,1,,,,,,,,1,,34,1,9
XI-9-3,AC-67,3,,,,,,,,,,,,,,,,,,3,,
XI-9-3/5,AC-67-68,5,1,,,,,,,,,,,,,,,,,3,,5
XI-9-5,AC-68,18,,,,1,2,,,,,1,,,,,,,,12,,
XIII-12-1,,58,,,,1,1,4,,,,,,,,,,,,43,,
XIII-21-1,AC-30,19,,,,,,,,,,,,,,,,,,13,,
XIII-21-13,,28,1,1,,3,4,,,1,,,,2,,,,,,16,,28
XIII-21-6,AC-71,25,,,,,1,1,,1,,,,,,,,,,12,,
XIII-22-2,AC-72,33,,1,,,,,,2,,,,,,,,,,18,,5
XIII-22-3,AC-74,28,,,,,1,,,1,,,,,,,,,,20,,
XIII-22-8,AC-73,125,3,,,3,12,4,1,1,,1,,1,,,,,,48,,57
XIII-23-1,,7,1,,,1,,,1,1,,,,,,,,,,1,,7
XIII-23-5,,4,,,,,,,,,,,,,,,,,,3,,4
XIII-7-1,AC-88?,3,,,,,,1,1,,,,,,,,,,,,,
XIV-10-2,,8,,,,,1,1,,,,,,,,,,,,5,,
XIV-11-10,AC-75,176,2,1,,3,1,5,,,,1,1,,1,,,2,,111,,43
XIV-11-11,,4,,,,,,,,,,,,,,,,,,3,,
XIV-4-3,,88,,,,,1,5,,1,,,,,,,,,,49,1,31
XIV-6-1,,7,,,,,,,,,,,,,,,,,,5,,
XIV-6-3,AC-78,10,,,,1,,2,,,,,,,,,,,,7,,
XIV-8-1,,15,,,,,2,,,,,,,,,,,,,7,,
XLVI-1-1,,6,1,,,,,,,1,,,,,,,,,,3,,
XLVI-3-1,,8,,,,,,2,,1,,,,,,,,,,2,,
XLVI-4-1,,7,,1,,,,,,1,,,,,,,,,,1,,
XLVI-5-1,,1,,,,,,,,,,,,,,,,,,,,
XLVI-5-3,,1,,,,,,,,,,,,,,,,,,,,
XLVI-6-1,,9,,,,2,,2,1,,,1,,,,,,,,2,,9
XLVI-6-3/4,,2,,,,,,,,,,,,,,,,,,2,,2
XLVI-7-1,,4,,,,1,,,,,,,,,,,,,,3,,
XLVI-8-1,AC-37,2,,,,,,,,,,,,,,,,,,,,
XLVI-8-10,,4,,1,,1,,,,,,,,,,,,,,2,,
XLVI-8-11/12/14,AC-37,301,6,3,,21,19,7,3,3,,4,,9,4,,,,,124,,271
XLVI-8-13,AC-37,112,4,,,14,10,2,3,2,,4,,3,,,,1,,42,,85
XLVI-8-15/16/18,,677,9,3,,61,32,14,4,9,,5,,11,7,,,1,,304,,605
XLVI-8-17,,105,,,,8,3,,1,3,,1,,2,,,,,,51,,100
XLVI-8-19/23,,122,3,,,14,1,2,,3,,2,,1,,,,,,54,,120
XLVI-8-4,,113,2,3,,7,6,8,3,5,1,2,,,5,,,1,,45,,107
XLVI-8-5,,7,,,,,,,1,,,,,,1,,,,,2,,
XLVI-8-6,AC-37,10,,,,1,1,,,1,,,,,,,,,,1,,
XLVI-8-7,,118,4,3,,13,9,5,3,2,,,1,1,3,1,,,,41,,94
XLVI-8-8,,3,,,,,,,,,,,,,,,,,,1,,
