PROV,MP_TR,UP_TR,LUP_TR,EN_TR,LN_TR,PLEIST_TR,HOLO_TR,NUM_LITHICS,NUM_GRNDSTONE,NUM_CERAMICS,NUM_ARTIFACTS,NUM_RETOUCHED,AREA_UNERODED,ORIG_AREA,SURVEY_SAMPLE,NUM_DISC_CORE,NUM_FLAKE_CORE,NUM_BLADE_CORE,NUM_CORE_PREP,NUM_FLAKES,NUM_BLADES,NUM_BLADELETS,NUM_CHUNKS,NUM_MIN_CORTEX,NUM_SOME_CORTEX,NUM_MAX_CORTEX
NA-3-1,0.1,0.1,0.1,0.7,0.5,0.1,0.7,1,0,1,2,0,0.021146190549,0.023288170851,random sample,0,0,0,0,0,0,0,1,0,0,0
NA-3-4,0,0.1,0.1,0.1,0,0.1,0.1,2,0,0,2,1,0.021611014249,0.022776200599,random sample,0,0,0,0,1,0,0,1,0,1,0
NA-3-5,0.3,0.1,0.1,0.7,0.5,0.3,0.7,5,0,3,8,0,0.027889977827,0.030093440578,random sample,0,0,0,0,2,0,0,3,1,1,0
NA-3-6,0.3,0.1,0.1,0.7,0.5,0.3,0.7,5,0,8,13,0,0.004414777452,0.005193873696,random sample,0,1,0,0,3,0,0,1,3,1,0
NA-3-7,0.3,0.1,0.1,0.1,0,0.3,0.1,4,0,0,4,0,0.015592612745,0.019830368132,random sample,0,0,0,0,1,0,0,3,1,0,0
NA-3-8,0.3,0.1,0.1,0.1,0,0.3,0.1,7,0,0,7,0,0.044269689744,0.04978647583,random sample,0,0,0,0,2,0,0,5,2,0,0
NA-3-9,0.3,0.1,0.1,0.1,0,0.3,0.1,1,0,0,1,0,0.038157835124,0.042645350628,random sample,0,0,0,0,1,0,0,0,1,0,0
NA-5-(12-13),0.3,0.1,0.1,0.1,0,0.3,0.1,2,0,0,2,0,0.00744318829,0.00744318829,random sample,0,0,0,0,1,0,0,1,1,0,0
NA-5-(20-24),0.3,0.1,0.1,0.1,0,0.3,0.1,2,0,0,2,0,0.022173654723,0.027521750178,random sample,0,2,0,0,0,0,0,0,0,1,1
NA-5-(29-32),0.1,0.1,0.1,0.1,0,0.1,0.1,1,0,0,1,0,0.02415203098,0.027800446473,random sample,0,0,0,0,0,0,0,1,0,0,0
NA-5-(33-37),0.3,0.1,0.1,0.1,0,0.3,0.1,3,0,0,3,0,0.018120375006,0.026991586036,random sample,0,0,0,0,1,0,0,2,1,0,0
NA-5-(38-39),0.1,0.1,0.1,0.1,0,0.1,0.1,2,0,0,2,0,0.011802141142,0.017812671712,random sample,0,0,0,0,0,0,0,2,0,0,0
NA-5-(4-7),0.3,0.1,0.1,0.7,0.5,0.3,0.7,1,0,1,2,0,0.022893308127,0.023782327709,random sample,0,0,0,0,1,0,0,0,0,1,0
NA-5-(40-41),0.1,0.5,0.5,0.7,0,0.5,0.7,1,0,0,1,0,0.019622443469,0.019966193827,random sample,0,0,0,0,0,1,0,0,1,0,0
NA-5-(42-44),0.3,0.5,0.1,0.7,0.5,0.5,0.7,8,0,1,9,1,0.021611236691,0.022046296281,random sample,0,1,0,0,2,0,0,5,2,1,0
NA-5-(45-47),0.3,0.7,0.1,0.1,0,0.7,0.1,1,0,0,1,1,0.017112004092,0.026717610056,random sample,0,0,0,0,1,0,0,0,0,1,0
NA-5-(48-51),0.3,0.1,0.1,0.7,0.5,0.3,0.7,2,0,1,3,0,0.033219786172,0.039875919278,random sample,0,1,0,0,1,0,0,0,2,0,0
NA-5-(53-55),0.3,0.1,0.1,0.1,0,0.3,0.1,3,0,0,3,0,0.012556861206,0.01682750796,random sample,0,1,0,0,0,0,0,2,1,0,0
NA-5-(8-10),0.1,0.1,0.1,0.1,0,0.1,0.1,1,0,0,1,0,0.020018313389,0.020031251384,random sample,0,0,0,0,0,0,0,1,0,0,0
NA-5-1,0.7,0.9,0.5,0.3,0,0.9,0.5,71,0,0,71,3,0.010463573195,0.010534330375,random sample,2,5,1,0,31,2,1,28,31,9,4
NA-5-2,0.1,0.1,0.1,0.1,0,0.1,0.1,3,0,0,3,0,0.007883153597,0.008418425573,random sample,0,0,0,0,0,0,0,3,0,0,0
NA-5-52,0.3,0.7,0.1,0.1,0,0.7,0.1,2,0,0,2,1,0.00642842047,0.01252970747,random sample,0,0,0,0,1,0,0,1,0,1,0
NA-5-57,0.1,0.1,0.1,0.1,0,0.1,0.1,1,0,0,1,0,0,0,random sample,0,0,0,0,0,0,0,1,0,0,0
NA-5-IBI,0.7,0.7,0.5,0.3,0,0.7,0.5,50,0,0,50,3,0,0,non-random sample,1,8,1,1,25,3,0,37,28,8,3
NB-10-1,0.3,0.1,0.1,0.1,0,0.3,0.1,32,0,0,32,0,0.0090917109,0.00931297874,non-random sample,0,4,0,0,13,0,0,15,11,5,0
NB-10-10,0.3,0.1,0.1,0.1,0,0.3,0.1,5,0,0,5,0,0.038329288151,0.039254995758,non-random sample,0,0,0,0,1,0,0,4,1,0,0
NB-10-11,0.1,0.1,0.1,0.1,0,0.1,0.1,4,0,0,4,0,0.007639079536,0.011096304072,non-random sample,0,0,0,0,0,0,0,4,0,0,0
NB-10-12,0.1,0.1,0.1,0.1,0,0.1,0.1,7,0,0,7,0,0.028660283804,0.03351755268,non-random sample,0,0,0,0,0,0,0,7,0,0,0
NB-10-13,0.1,0.1,0.1,0.7,0.5,0.1,0.7,2,0,2,4,0,0.019453746155,0.019813253071,non-random sample,0,0,0,0,0,0,0,2,0,0,0
NB-10-2,0.3,0.1,0.1,0.1,0,0.3,0.1,4,0,0,4,0,0.017612737339,0.022009285231,non-random sample,0,1,0,0,1,0,0,2,2,0,0
NB-10-3,0.3,0.1,0.1,0.7,0.5,0.3,0.7,6,0,1,7,0,0.020609428678,0.025949353766,non-random sample,0,1,0,0,2,0,0,3,0,3,0
NB-10-4,0.3,0.1,0.1,0.1,0,0.3,0.1,6,0,0,6,0,0.014305555621,0.014333911493,non-random sample,0,0,0,0,2,0,0,4,2,0,0
NB-10-5,0.7,0.7,0.5,0.3,0,0.7,0.5,28,0,0,28,1,0.00898561941,0.009235772392,non-random sample,1,4,0,0,11,2,0,10,14,3,1
NB-10-6,0.3,0.3,0.3,0.7,0.5,0.3,0.7,42,0,3,45,0,0.009171179587,0.010447573228,non-random sample,0,6,1,0,15,0,0,20,13,6,3
