region,stratum,sector,subsector,prov,site,count,eroded,lip,rim,neck,shape,base,handle,decoration_1,decoration_2,decoration_3,date,survey_pass,micro
Polop,NB,NB-11,NB-11-1,NB-11-1,AC-107,7,0,0,0,0,1,0,0,,,,12/10/1995,4,b
Polop,SB,SB-3,SB-3-3,SB-3-3,AC-101,1,0,51,0,0,0,0,0,,,,07/12/1991,2,corte sur
Polop,SB,SB-3,SB-3-1,SB-3-1,AC-101,1,0,0,0,0,1,0,0,7,,,21/10/91,1,e
Polop,SB,SB-3,SB-3-1,SB-3-1,AC-101,1,0,1,0,0,0,0,0,,,,21/10/91,1,e
Polop,SB,SB-3,SB-3-1,SB-3-1,AC-101,1,0,2,0,0,0,0,0,,,,21/10/91,1,e
Polop,SB,SB-3,SB-3-1,SB-3-1,AC-101,1,0,1,0,0,0,0,0,,,,21/10/91,1,e
Polop,SB,SB-3,SB-3-1,SB-3-1,AC-101,1,0,52,0,0,0,0,0,,,,21/10/91,1,e
Polop,SB,SB-3,SB-3-2,SB-3-2,AC-101,2,0,0,0,0,1,0,0,,,,21/10/91,1,a
Polop,SB,SB-3,SB-3-4,SB-3-4,AC-101,3,0,0,0,0,1,0,0,,,,20/3/93,2,a
Polop,NB,NB-11,NB-11-1,NB-11-1,AC-107,1,0,0,0,0,1,0,0,,,,07/12/1991,2,
Polop,NB,NB-11,NB-11-1,NB-11-1,AC-107,1,0,0,0,0,1,0,0,5,,,07/12/1991,2,
Polop,NB,NB-11,NB-11-1,NB-11-1,AC-107,1,0,2,1,0,0,0,0,10.1,,,07/12/1991,2,
Polop,SB,SB-12,SB-12-12,SB-12-12,AC-104,1,0,1,0,0,0,0,0,,,,11/10/1991,1,
Polop,SB,SB-12,SB-12-12,SB-12-12,AC-104,1,0,1,0,0,0,0,0,,,,11/10/1991,1,
Polop,SB,SB-12,SB-12-12,SB-12-12,AC-104,1,0,52,0,2,0,0,0,,,,11/10/1991,1,
Polop,SB,SB-3,SB-3-1,SB-3-1,AC-101,8,0,0,0,0,1,0,0,,,,21/10/91,1,d
Polop,SB,SB-3,SB-3-1,SB-3-1,AC-101,1,0,0,0,0,1,0,3,,,,21/10/91,1,d
Polop,SB,SB-3,SB-3-2,SB-3-2,AC-101,3,0,0,0,0,1,0,0,,,,21/10/91,1,a
Polop,SB,SB-3,SB-3-2,SB-3-2,AC-101,3,0,0,0,0,1,0,0,,,,21/10/91,1,a
Polop,SB,SB-3,SB-3-1,SB-3-1,AC-101,4,0,0,0,0,1,0,0,,,,21/10/91,1,b
Polop,SB,SB-3,SB-3-8,SB-3-8,AC-101,1,0,0,0,0,1,0,0,,,,17/10/91,1,
