NOBOLSA,FECHA,REGION,AREA,SECTOR,SSECTOR,YACIMIENTO,RODADO,MECANICO,CLAS_TECN_,FRACTURA,TAMANO,CORTEX,TALON,SEC_HOJ_,TIPO,RET_MODO,LUSTRE,COUNT,LONGITUD,ANCHURA,GROSOR,NOTES,MICRO,R,PSDA
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,2,-,6,-,3,-,-,-,,-,-,3,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,2,-,6,-,2,-,-,-,,-,-,10,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,2,-,6,-,1,-,-,-,,-,-,8,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,2,-,3,-,2,1,3,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,2,-,1.2,-,2,1,-,-,,-,-,2,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,2,6,-,3,-,-,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,2,6,-,2,-,-,-,,-,-,5,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,1,6,-,1,-,-,-,,-,-,5,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,3,3,1,3,1,2,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,3,3,1,2,1,2,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,3,3,2,2,3,0,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,3,3,2,2,1,2,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,2,3,2,2,3,0,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,2,3,1,2,1,2,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,2,3,1,2,2,2,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,2,3,1,2,1,2,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,2,3,2,2,2,2,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,2,3,2,2,1,0,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,1,3,2,2,1,2,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,1,1.2,1,3,2,-,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,1,1.2,2,3,2,-,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,2,1.2,1,2,1,-,-,,-,-,1,0,0,0,1,,4415,1
13,10/15/1991,POLOP,,,,AC-112 Ibi Road,1,2,1.2,1,2,1,-,-,,-,-,1,0,0,0,1,,4415,1
58,12/06/1991,POLOP,,,,AC-110,1,2,6,,3,,,,,,,1,0,0,0,2,,4415,2
58,12/06/1991,POLOP,,,,AC-110,1,2,6,,2,,,,,,,1,0,0,0,2,,4415,2
58,12/06/1991,POLOP,,,,AC-110,1,2,6,,1,,,,,,,1,0,0,0,2,,4415,2
58,12/06/1991,POLOP,,,,AC-110,1,1,6,,1,,,,,,,1,0,0,0,2,,4415,2
58,12/06/1991,POLOP,,,,AC-110,1,3,3,2,2,1,1,,,,,1,0,0,0,2,,4415,2
58,12/06/1991,POLOP,,,,AC-110,1,2,3,2,2,1,2,,,,,1,0,0,0,2,,4415,2
58,12/06/1991,POLOP,,,,AC-110,1,1,3,2,1,1,2,,,,,1,0,0,0,2,,4415,2
58,12/06/1991,POLOP,,,,AC-110,1,2,1.2,1,2,1,,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,2,3,6,,1,,,,,,,2,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,3,6,,2,,,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,3,6,,1,,,,,,,2,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,2,1.2,,2,2,,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,1,1.2,,3,1,,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,1,1.1,,2,1,,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,2,1.3,,2,1,,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,2,2,,2,1,,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,2,,3,1,2,1,2,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,2,,3,2,2,3,3,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,1,3,1,3,1,2,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,3,3,1,2,2,2,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,3,3,2,2,1,2,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,2,3,2,1,1,2,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,3,3,2,1,2,0,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,3,3,2,1,1,0,,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,2,3,1,3,1,2,,14,S,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,3,3,1,2,1,2,,2,S,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,3,3,1,2,1,2,,2,S,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,2,3,1,2,2,2,,3,S,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,2,3,2,1,1,0,,14,A,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,3,4,2,2,1,2,2,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,3,4,2,2,1,0,1,,,,1,0,0,0,2,,4415,2
60,12/06/1991,POLOP,,,,AC-112 Ibi Road,1,3,4,2,1,1,0,1,,,,1,0,0,0,2,,4415,2
188,10/21/1991,POLOP,NA,NA-3,NA-3-1,,1,2,6,,2,,,,,,,1,0,0,0,1,,4415,1
128,10/21/1991,POLOP,NA,NA-3,NA-3-4,,1,2,3,1,3,2,2,,2,S,,1,0,0,0,1,,4415,1
128,10/21/1991,POLOP,NA,NA-3,NA-3-4,,1,2,6,,2,,,,,,,1,0,0,0,1,,4415,1
185,10/18/1991,POLOP,NA,NA-3,NA-3-5,,1,3,6,,3,,,,,,,1,0,0,0,1,,4415,1
185,10/18/1991,POLOP,NA,NA-3,NA-3-5,,1,2,6,,2,,,,,,,2,0,0,0,1,,4415,1
185,10/18/1991,POLOP,NA,NA-3,NA-3-5,,1,2,3,2,2,2,2,,,,,1,0,0,0,1,,4415,1
185,10/18/1991,POLOP,NA,NA-3,NA-3-5,,1,2,3,2,1,1,2,,,,,1,0,0,0,1,,4415,1
126,10/21/1991,POLOP,NA,NA-3,NA-3-6,,1,2,6,,2,,,,,,,1,0,0,0,1,,4415,1
126,10/21/1991,POLOP,NA,NA-3,NA-3-6,,1,2,3,1,2,2,2,,,,,1,0,0,0,1,,4415,1
126,10/21/1991,POLOP,NA,NA-3,NA-3-6,,1,2,1.2,1,2,1,,,,,,1,0,0,0,1,,4415,1
126,10/21/1991,POLOP,NA,NA-3,NA-3-6,,1,3,3,2,2,1,0,,14(*),,,1,0,0,0,1,,4415,1
183,10/21/1991,POLOP,NA,NA-3,NA-3-6,,2,,3,2,2,1,2,,,,,1,0,0,0,1,,4415,1
127,,POLOP,NA,NA-3,NA-3-7,,1,2,6,,3,,,,,,,1,0,0,0,1,,4415,1
186,10/21/1991,POLOP,NA,NA-3,NA-3-7,,1,2,6,,2,,,,,,,2,0,0,0,1,,4415,1
186,10/21/1991,POLOP,NA,NA-3,NA-3-7,,1,3,3,2,2,1,3,,,,,1,0,0,0,1,,4415,1
125,,POLOP,NA,NA-3,NA-3-8,,1,2,6,,3,,,,,,,3,0,0,0,1,,4415,1
125,,POLOP,NA,NA-3,NA-3-8,,1,2,6,,2,,,,,,,2,0,0,0,1,,4415,1
187,10/21/1991,POLOP,NA,NA-3,NA-3-8,,1,3,3,1,3,1,2,,,,,1,0,0,0,1,,4415,1
187,10/21/1991,POLOP,NA,NA-3,NA-3-8,,1,3,3,2,2,1,2,,,,,1,0,0,0,1,,4415,1
184,10/21/1991,POLOP,NA,NA-3,NA-3-9,,1,2,3,2,2,1,0,,,,,1,0,0,0,1,,4415,1
189,10/08/1991,POLOP,NA,NA-5,NA-5-1,,1,2,6,,1,,,,,,,1,0,0,0,1,,4415,1
133,10/09/1991,POLOP,NA,NA-5,NA-5-12,,1,2,6,,2,,,,,,,1,0,0,0,1,,4415,1
133,10/09/1991,POLOP,NA,NA-5,NA-5-12,,1,2,3,2,1,1,0,,14,S,,1,0,0,0,1,,4415,1
134,10/08/1991,POLOP,NA,NA-5,NA-5-2,,1,2,6,,2,,,,,,,2,0,0,0,1,,4415,1
134,10/08/1991,POLOP,NA,NA-5,NA-5-2,,1,1,6,,1,,,,,,,1,0,0,0,1,,4415,1
140,10/09/1991,POLOP,NA,NA-5,NA-5-22,,1,2,1.2,1,2,2,,,,,,1,0,0,0,1,,4415,1
132,10/09/1991,POLOP,NA,NA-5,NA-5-24,,1,2,1.2,1,3,3,,,,,,1,0,0,0,1,,4415,1
137,10/09/1991,POLOP,NA,NA-5,NA-5-32,,1,2,6,,2,,,,,,,1,0,0,0,1,,4415,1
192,10/09/1991,POLOP,NA,NA-5,NA-5-36,,1,2,6,,2,,,,,,,1,0,0,0,1,,4415,1
192,10/09/1991,POLOP,NA,NA-5,NA-5-36,,1,2,6,,1,,,,,,,1,0,0,0,1,,4415,1
192,10/09/1991,POLOP,NA,NA-5,NA-5-36,,1,2,3,2,2,1,2,,,,,1,0,0,0,1,,4415,1
139,10/09/1991,POLOP,NA,NA-5,NA-5-38/39,,1,2,6,,2,,,,,,,2,0,0,0,1,,4415,1
191,10/09/1991,POLOP,NA,NA-5,NA-5-4/7,,1,2,6,,2,,,,,,,1,0,0,0,1,,4415,1
143,10/09/1991,POLOP,NA,NA-5,NA-5-40,,1,2,4,2,,1,3,1,15,S,2,1,0,20.5,6.4,1,,4415,1
138,,POLOP,NA,NA-5,NA-5-42,,1,2,1.2,1,3,2,,,,,,1,0,0,0,1,,4415,1
196,10/09/1991,POLOP,NA,NA-5,NA-5-42,,2,,6,,2,,,,,,,1,0,0,0,1,,4415,1
135,,POLOP,NA,NA-5,NA-5-43,,1,2,6,,2,,,,,,,2,0,0,0,1,,4415,1
135,,POLOP,NA,NA-5,NA-5-43,,1,2,3,2,2,1,0,,8,A,,1,0,0,0,1,,4415,1
