cat,subsect_ID,valley,area_kmsq,lithic_density,total_lithics,total_retouched,retouch_freq,flakes,blades,bladelets,flake_cores,blade_cores,chunks,core_rejuv,flake_tech,blade_tech,ret_flakes,geometrics,microburins,bldt_utilized,bldt_ret,bkd_pieces,bkd_pts,drills,proj_pts,total_backed,dent_sickl,MPaleo_types,UPaleo_types,Neol1_types,Neol2_types,Neol_types,settlmnt_wt,MPaleo_TI,MPaleo_SII,MPaleo_SII_ntile,UPaleo_TI,UPaleo_SII,UPaleo_SII_ntile,LUPaleo_TI,LUPaleo_SII,LUPaleo_SII_ntl,Neol1_TI,Neol1_SII,Neol1_SII_ntl,Neol2_TI,Neol2_SII,Neol2_SII_ntl,elev_min,elev_max,elev_range,elev_mean,elev_stddev,elev_variance,elev_cf_var,distcoast,distcoast_30ka,distcoast_18ka,distcoast_13ka,val_elev
64,A3-2-2,Alcala,0.009736,205.423171733772,2,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.03,49,0.1,0.01,49,0.1,0.01,49,0.1,0.01,50,0.1,0.01,49,644,653,9,650.505263157895,3.70170283492352,13.7026038780808,0.569050405057987,21476.60721,30485.86123,30988.375093,29992.472283,"""642m Alacala"""
74,A1-14-10,Alcala,0.0078,1666.66666666667,13,0,0,13,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.3,0.225,50,0.1,0.075,50,0.1,0.075,50,0.1,0.075,50,0.1,0.075,50,626,634,8,630.12987012987,2.6791675841926,7.17793894418842,0.425177048604349,19822.32426,30340.048477,30813.567249,29876.635207,"""642m Alacala"""
3,A2-11-1,Alcala,0.013124,533.373971350198,7,0,0,7,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0.15,49,0.1,0.05,49,0.1,0.05,49,0.1,0.05,50,0.1,0.05,49,631,651,20,641.068181818182,5.19351749461928,26.9726239669165,0.810134965658341,20241.844431,30728.879861,31209.891998,30257.609498,"""642m Alacala"""
4,A2-11-2,Alcala,0.003218,621.504039776259,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.3,0.075,49,0.1,0.025,49,0.1,0.025,49,0.1,0.025,50,0.1,0.025,49,631,639,8,634.625,2.08791163606126,4.359375,0.328999272966123,20164.498581,30690.127805,31169.785398,30220.267045,"""642m Alacala"""
5,A2-11-3,Alcala,0.00734,1226.15803814714,9,0,0,9,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.3,0.225,50,0.1,0.075,50,0.1,0.075,50,0.1,0.075,50,0.1,0.075,50,640,651,11,645.680555555556,4.2584112481067,18.1340663580017,0.659522919107063,20327.998816,30668.042502,31150.58143,30195.216976,"""642m Alacala"""
7,A2-11-5,Alcala,0.005769,2253.42347027214,13,0,0,11,2,0,0,0,7,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.3,0.27,75,0.3,0.27,75,0.3,0.27,75,0.7,0.63,90,0.7,0.63,75,631,635,4,632.066666666667,1.71139968707063,2.92888888890545,0.270762528278235,20211.210438,30598.429746,31078.922338,30127.737683,"""642m Alacala"""
8,A2-10-1,Alcala,0.003045,328.407224958949,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.3,0.225,50,0.1,0.075,50,0.1,0.075,50,0.1,0.075,50,0.1,0.075,50,628,632,4,630.689655172414,1.44086775280293,2.07609988106736,0.228459075075369,20209.740454,30459.092787,30939.563291,29988.469268,"""642m Alacala"""
9,A2-10-2,Alcala,0.007725,388.349514563107,3,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.3,0.075,49,0.1,0.025,49,0.1,0.025,49,0.7,0.175,50,0.7,0.175,50,631,640,9,632.443037974684,2.63735020184006,6.95561608714582,0.417009919230961,20248.461048,30478.72885,30959.88606,30007.390427,"""642m Alacala"""
10,A2-10-3,Alcala,0.006974,860.338399770576,6,0,0,6,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0.15,49,0.1,0.05,49,0.1,0.05,49,0.1,0.05,50,0.1,0.05,49,635,640,5,638.357142857143,2.34846888896604,5.51530612244138,0.367892631146073,20297.450622,30511.668474,30993.691152,30039.426373,"""642m Alacala"""
11,A2-10-4,Alcala,0.005525,1085.97285067873,6,0,0,6,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.3,0.225,50,0.1,0.075,50,0.1,0.075,50,0.1,0.075,50,0.1,0.075,50,635,645,10,639.074074074074,2.16753702051012,4.69821673528188,0.339168354411899,20335.288743,30541.979746,31024.667581,30069.041514,"""642m Alacala"""
