Polop Alto recollection analysis,,,,,,,
,,,,,,,
,Survey and collection dates,,,,,,
prov,Oct 1991,Dec 1991,Mar 1993,Oct 1993,Mar 1995,Oct 1995,total
NA-5-IBI,50,26,,,,,76
NB-11-1,139,,231,,120,315,805
SB-10-4,14,8,,,,,22
SB-11-1,216,40,,,,,256
SB-12-1,15,18,,,,,33
SB-12-10,110,,,51,,,161
SB-12-11,18,,,38,,,56
SB-12-13,90,,,182,,,272
SB-12-14,112,13,,47,,,172
SB-12-2,39,61,,,,,100
SB-12-5,15,5,,,,,20
SB-3-1,156,,,59,,,215
SB-3-2,130,,12,27,,,169
SB-3-3,48,,91,11,,,150
SB-3-4,166,,27,73,,,266
SB-3-5,43,,,53,,,96
SB-9-1,96,45,,,,,141
